Date,Open,High,Low,Close,Adj Close,Volume
2017-04-25,2.305000,2.334000,2.296000,2.327000,2.327000,0
2017-04-26,2.340000,2.350000,2.309000,2.311000,2.311000,0
2017-04-27,2.311000,2.322000,2.282000,2.296000,2.296000,0
2017-04-28,2.313000,2.336000,2.282000,2.282000,2.282000,0
2017-05-01,2.291000,2.338000,2.280000,2.325000,2.325000,0
2017-05-02,2.338000,2.340000,2.293000,2.296000,2.296000,0
2017-05-03,2.279000,2.318000,2.279000,2.309000,2.309000,0
2017-05-04,2.341000,2.369000,2.338000,2.356000,2.356000,0
2017-05-05,2.361000,2.380000,2.338000,2.352000,2.352000,0
2017-05-08,2.333000,2.390000,2.331000,2.376000,2.376000,0
2017-05-09,2.389000,2.416000,2.389000,2.407000,2.407000,0
2017-05-10,2.381000,2.416000,2.371000,2.414000,2.414000,0
2017-05-11,2.394000,2.423000,2.391000,2.400000,2.400000,0
2017-05-12,2.379000,2.380000,2.322000,2.335000,2.335000,0
2017-05-15,2.342000,2.350000,2.333000,2.338000,2.338000,0
2017-05-16,2.354000,2.359000,2.308000,2.329000,2.329000,0
2017-05-17,2.287000,2.287000,2.212000,2.216000,2.216000,0
2017-05-18,2.196000,2.238000,2.191000,2.233000,2.233000,0
2017-05-19,2.247000,2.261000,2.233000,2.245000,2.245000,0
2017-05-22,2.249000,2.256000,2.238000,2.254000,2.254000,0
2017-05-23,2.245000,2.289000,2.235000,2.285000,2.285000,0
2017-05-24,2.276000,2.297000,2.254000,2.266000,2.266000,0
