Date,Open,High,Low,Close,Adj Close,Volume
2010-05-24,1805.550049,1809.810059,1781.260010,1782.770020,1782.770020,0
2010-05-25,1780.109985,1784.520020,1727.900024,1783.400024,1783.400024,0
2010-05-26,1784.359985,1811.150024,1769.290039,1773.650024,1773.650024,0
2010-05-27,1776.180054,1832.609985,1776.180054,1832.609985,1832.609985,0
2010-05-28,1832.199951,1832.199951,1802.060059,1809.979980,1809.979980,0
2010-06-01,1810.010010,1818.719971,1777.449951,1778.989990,1778.989990,0
2010-06-02,1779.569946,1825.250000,1779.569946,1825.250000,1825.250000,0
2010-06-03,1825.939941,1837.400024,1814.300049,1832.719971,1832.719971,0
2010-06-04,1829.760010,1829.760010,1762.449951,1769.719971,1769.719971,0
2010-06-07,1769.949951,1780.479980,1744.650024,1745.869995,1745.869995,0
2010-06-08,1745.670044,1767.369995,1732.099976,1765.290039,1765.290039,0
2010-06-09,1765.420044,1791.430054,1749.319946,1754.910034,1754.910034,0
2010-06-10,1757.079956,1808.430054,1757.079956,1806.689941,1806.689941,0
2010-06-11,1806.209961,1815.500000,1790.579956,1815.260010,1815.260010,0
2010-06-14,1816.109985,1839.130005,1810.920044,1812.020020,1812.020020,0
2010-06-15,1812.949951,1855.140015,1812.949951,1854.609985,1854.609985,0
2010-06-16,1854.449951,1860.369995,1841.430054,1853.619995,1853.619995,0
2010-06-17,1853.660034,1858.650024,1838.630005,1856.250000,1856.250000,0
2010-06-18,1856.540039,1864.459961,1852.800049,1858.699951,1858.699951,0
2010-06-21,1858.719971,1881.420044,1842.979980,1851.550049,1851.550049,0
2010-06-22,1851.810059,1860.229980,1819.900024,1822.050049,1822.050049,0
2010-06-23,1822.250000,1829.420044,1805.150024,1816.650024,1816.650024,0
2010-06-24,1815.760010,1815.760010,1782.670044,1786.130005,1786.130005,0
2010-06-25,1786.130005,1802.170044,1776.530029,1791.239990,1791.239990,0
2010-06-28,1791.439941,1800.949951,1782.310059,1787.939941,1787.939941,0
2010-06-29,1787.020020,1787.020020,1722.380005,1732.550049,1732.550049,0
2010-06-30,1732.150024,1744.020020,1711.180054,1715.229980,1715.229980,0
2010-07-01,1715.229980,1720.020020,1682.209961,1709.770020,1709.770020,0
2010-07-02,1709.770020,1719.089966,1690.709961,1701.859985,1701.859985,0
2010-07-06,1701.859985,1734.969971,1694.750000,1710.969971,1710.969971,0
2010-07-07,1711.290039,1765.770020,1711.290039,1765.420044,1765.420044,0
2010-07-08,1765.489990,1783.650024,1762.300049,1782.099976,1782.099976,0
2010-07-09,1782.709961,1795.410034,1778.400024,1794.939941,1794.939941,0
2010-07-12,1795.189941,1799.160034,1782.339966,1796.300049,1796.300049,0
2010-07-13,1796.300049,1830.729980,1796.300049,1824.069946,1824.069946,0
2010-07-14,1824.069946,1830.270020,1810.989990,1823.819946,1823.819946,0
2010-07-15,1823.819946,1829.989990,1799.569946,1826.000000,1826.000000,0
2010-07-16,1825.880005,1825.880005,1770.739990,1773.430054,1773.430054,0
2010-07-19,1773.459961,1789.849976,1766.979980,1784.060059,1784.060059,0
2010-07-20,1779.520020,1805.290039,1759.969971,1804.479980,1804.479980,0
2010-07-21,1806.829956,1813.540039,1774.140015,1781.599976,1781.599976,0
2010-07-22,1783.689941,1828.099976,1783.689941,1821.760010,1821.760010,0
2010-07-23,1821.150024,1838.589966,1812.050049,1836.750000,1836.750000,0
2010-07-26,1836.790039,1857.329956,1834.469971,1857.339966,1857.339966,0
2010-07-27,1857.339966,1867.280029,1848.630005,1855.390015,1855.390015,0
2010-07-28,1855.239990,1856.670044,1837.430054,1842.660034,1842.660034,0
2010-07-29,1843.160034,1858.959961,1819.989990,1835.290039,1835.290039,0
2010-07-30,1833.949951,1843.500000,1813.060059,1835.400024,1835.400024,0
2010-08-02,1837.689941,1878.260010,1837.689941,1875.849976,1875.849976,0
2010-08-03,1875.689941,1875.689941,1860.729980,1866.869995,1866.869995,0
2010-08-04,1867.219971,1880.530029,1865.130005,1878.810059,1878.810059,0
2010-08-05,1878.780029,1878.780029,1864.790039,1876.510010,1876.510010,0
2010-08-06,1875.630005,1875.630005,1845.630005,1869.770020,1869.770020,0
2010-08-09,1870.219971,1882.439941,1868.540039,1880.060059,1880.060059,0
2010-08-10,1879.400024,1879.400024,1852.989990,1868.880005,1868.880005,0
2010-08-11,1866.859985,1866.859985,1814.780029,1817.130005,1817.130005,0
2010-08-12,1813.010010,1813.010010,1795.770020,1807.609985,1807.609985,0
2010-08-13,1807.540039,1812.010010,1799.949951,1800.390015,1800.390015,0
2010-08-16,1799.989990,1806.000000,1784.180054,1800.699951,1800.699951,0
2010-08-17,1801.270020,1835.329956,1801.270020,1823.180054,1823.180054,0
2010-08-18,1823.250000,1835.219971,1811.869995,1826.140015,1826.140015,0
2010-08-19,1826.140015,1826.140015,1786.920044,1795.239990,1795.239990,0
2010-08-20,1795.239990,1795.239990,1775.670044,1788.670044,1788.670044,0
2010-08-23,1788.930054,1805.089966,1781.060059,1781.469971,1781.469971,0
2010-08-24,1781.469971,1781.469971,1746.449951,1755.650024,1755.650024,0
2010-08-25,1754.349976,1768.140015,1735.569946,1761.619995,1761.619995,0
2010-08-26,1761.619995,1771.829956,1745.010010,1748.140015,1748.140015,0
2010-08-27,1749.040039,1778.189941,1736.469971,1777.599976,1777.599976,0
2010-08-30,1777.020020,1777.270020,1751.229980,1751.790039,1751.790039,0
2010-08-31,1751.569946,1762.209961,1738.380005,1752.550049,1752.550049,0
2010-09-01,1754.859985,1805.949951,1754.859985,1804.459961,1804.459961,0
2010-09-02,1804.640015,1820.979980,1804.640015,1820.979980,1820.979980,0
2010-09-03,1823.060059,1845.839966,1823.060059,1845.099976,1845.099976,0
2010-09-07,1845.000000,1845.000000,1822.819946,1824.050049,1824.050049,0
2010-09-08,1824.579956,1843.140015,1824.579956,1836.209961,1836.209961,0
2010-09-09,1838.089966,1855.270020,1838.089966,1845.089966,1845.089966,0
2010-09-10,1845.089966,1856.239990,1844.699951,1854.099976,1854.099976,0
2010-09-13,1854.189941,1878.020020,1854.189941,1875.410034,1875.410034,0
2010-09-14,1875.280029,1884.400024,1864.910034,1874.069946,1874.069946,0
2010-09-15,1873.729980,1883.030029,1863.329956,1880.739990,1880.739990,0
2010-09-16,1880.420044,1881.410034,1870.420044,1880.369995,1880.369995,0
2010-09-17,1882.770020,1891.760010,1876.569946,1881.930054,1881.930054,0
2010-09-20,1881.969971,1914.050049,1881.969971,1910.599976,1910.599976,0
2010-09-21,1910.489990,1920.410034,1900.390015,1905.739990,1905.739990,0
2010-09-22,1905.239990,1913.420044,1892.020020,1896.770020,1896.770020,0
2010-09-23,1896.770020,1900.729980,1877.359985,1880.969971,1880.969971,0
2010-09-24,1881.410034,1921.250000,1881.410034,1920.839966,1920.839966,0
2010-09-27,1920.510010,1922.979980,1909.589966,1909.979980,1909.979980,0
2010-09-28,1910.189941,1923.119995,1893.420044,1919.589966,1919.589966,0
2010-09-29,1919.319946,1921.180054,1907.180054,1914.839966,1914.839966,0
2010-09-30,1915.260010,1935.219971,1900.869995,1908.949951,1908.949951,0
2010-10-01,1911.099976,1924.010010,1905.719971,1917.420044,1917.420044,0
2010-10-04,1916.599976,1920.390015,1893.189941,1902.150024,1902.150024,0
2010-10-05,1902.459961,1945.160034,1902.459961,1941.819946,1941.819946,0
2010-10-06,1941.319946,1944.489990,1931.920044,1941.500000,1941.500000,0
2010-10-07,1941.739990,1948.000000,1927.170044,1938.310059,1938.310059,0
2010-10-08,1938.069946,1954.530029,1934.189941,1950.180054,1950.180054,0
2010-10-11,1950.329956,1956.109985,1944.770020,1950.469971,1950.469971,0
